	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
3'ETS-<i>leuZ</i>	1864	1680	2976	1465	2286	2193	1622	3180	4	1	2	2
A	29	3	10	3	13343	18665	6062	13874	35	2	592	156
B	29	4	0	0	12789	18869	4962	12855	44	1	601	171
C	22	2	4	3	13203	21670	4959	13686	53	2	1011	300
C0067	2	3	9	1	4	8	8	15	0	0	0	0
C0293	1	3	7	4	3	2	8	25	0	0	0	0
C0299	1	1	2	1	0	1	2	1	0	0	0	0
C0362	79	88	84	87	63	89	121	133	0	0	0	0
C0465	2	0	1	0	0	0	1	1	0	0	0	0
C0614	19	21	40	30	31	27	47	39	0	0	0	0
C0664	1	1	0	0	0	0	1	2	0	0	0	0
C0719	3	2	14	4	7	12	36	19	0	1	0	0
D	10	1	2	3	3607	5348	1476	3854	8	2	298	68
E	41	0	2	1	14350	21342	5261	13495	43	4	1117	275
Fi	11	1	1	1	7755	11626	2463	6733	11	3	538	130
Fii	14	1	2	1	8291	10626	2604	5590	15	5	489	131
G	9	3	4	2	9062	12554	2517	6047	14	2	707	170
G0-10698	387	373	192	164	346	477	123	183	0	1	0	0
G0-10700	732	1277	704	715	628	1256	850	2253	13	7	4	1
G0-10702	12	7	30	7	11	8	19	41	1	0	0	1
G0-10703	2	10	2	0	1	11	0	6	0	0	0	0
G0-10704	44	38	46	34	34	53	34	66	1	0	0	0
G0-10705	1	1	6	7	4	2	10	17	0	1	0	0
G0-10706	21	16	24	10	18	19	14	29	0	1	0	0
H	42	4	8	2	43731	57817	13438	29329	75	4	2561	622
I	7	0	3	0	5321	6895	1555	3025	17	0	371	90
IS128	2	4	6	2	6	5	4	14	0	0	0	0
J	36	2	4	4	22218	30505	6523	14873	49	3	1717	452
K	6	1	0	0	4662	6425	1272	2916	13	0	424	88
L	13	2	0	1	9046	12019	2386	5822	16	3	645	161
M	5	0	2	0	5589	7037	1282	2905	12	3	440	96
N	54	2	2	0	384	737	3566	13495	43	3	8	8
NinB	11	0	2	1	1118	1762	1931	4411	10	1	6	1
NinC	18	1	2	0	1757	2878	3061	6842	20	1	15	18
NinD	3	0	0	0	240	461	547	1261	3	0	0	0
NinE	0	1	0	0	280	451	513	1279	4	0	1	0
NinF	8	1	1	1	2155	3092	2430	5082	14	3	18	3
NinG	27	1	1	1	2489	4037	3966	9780	29	3	31	13
NinH	11	0	1	1	1141	1933	1531	3588	18	0	11	2
NinI	19	0	0	0	2565	3945	2872	6666	25	1	25	22
O	29	2	3	1	3056	4148	7391	10947	27	0	18	6
P	37	3	3	0	4625	6784	7289	17711	32	2	53	22
Q	9	0	0	0	1271	1814	1462	3318	10	0	15	4
R	18	1	2	1	3521	6474	2328	6953	18	1	130	42
Rz	13	4	1	2	2392	4123	1483	4463	17	1	90	34
Rz1	3	1	0	1	639	1170	397	1327	10	0	26	16
S	9	0	0	2	1183	1969	1071	2211	8	0	23	6
S'	9	0	0	2	1162	1934	1052	2133	8	0	23	6
T	4	0	0	1	8166	11153	2273	5252	9	0	553	138
U	7	0	2	0	5020	6623	1667	3920	15	1	262	74
V	26	2	5	3	12772	17673	3817	9269	19	3	895	251
W	2	0	4	0	2801	4236	1272	2810	11	1	98	41
Z	13	0	2	2	9115	13254	3025	7476	24	3	673	163
aaaD	1	2	0	4	912	1389	435	950	1	0	43	15
aaaE	14	17	15	18	5	14	10	25	0	0	0	0
aaeA	30	53	36	26	32	41	31	36	0	0	0	0
aaeB	42	44	32	39	20	39	47	65	1	2	0	0
aaeR	279	331	235	276	199	324	147	406	5	8	2	4
aaeX	24	31	18	10	23	33	23	24	0	0	0	0
aas	744	793	510	445	549	752	339	647	6	7	4	0
aat	126	146	284	210	98	141	169	344	1	3	0	1
abgA	31	37	43	40	16	32	32	69	0	2	0	1
abgB	65	71	100	70	42	68	87	172	0	0	0	1
abgR	192	238	297	300	155	220	209	464	1	3	1	1
abgT	136	107	169	119	88	95	103	175	1	2	0	0
abpA	470	657	212	218	346	716	147	394	12	21	4	3
abpB	396	661	258	228	372	661	162	379	14	16	5	2
abrB	143	168	105	119	127	167	136	181	5	4	0	0
accA	811	860	1516	1487	531	753	952	2443	17	20	8	7
accB	180	293	646	506	156	303	487	1566	12	8	7	5
accC	347	518	1218	1035	276	483	912	2541	17	29	8	3
accD	800	984	1708	1568	587	869	1012	2500	12	16	4	9
aceA	9442	14009	8577	10241	5022	8912	5772	13589	64	69	18	8
aceB	2706	4367	4120	4221	1252	2385	2859	8201	27	24	11	10
aceE	4895	6761	16437	15335	2729	4963	10986	39388	217	205	56	64
aceF	4003	5393	9468	10586	2129	3491	6066	24099	177	158	46	43
