Chromosome,chromStart,chromEnd,Gene
E. coli,0,1,0
E. coli,100000,100001,100000
E. coli,200000,200001,200000
E. coli,300000,300001,300000
E. coli,400000,400001,400000
E. coli,500000,500001,500000
E. coli,600000,600001,600000
E. coli,700000,700001,700000
E. coli,800000,800001,800000
E. coli,900000,900001,900000
E. coli,1000000,1000001,1000000
E. coli,1100000,1100001,1100000
E. coli,1200000,1200001,1200000
E. coli,1300000,1300001,1300000
E. coli,1400000,1400001,1400000
E. coli,1500000,1500001,1500000
E. coli,1600000,1600001,1600000
E. coli,1700000,1700001,1700000
E. coli,1800000,1800001,1800000
E. coli,1900000,1900001,1900000
E. coli,2000000,2000001,2000000
E. coli,2100000,2100001,2100000
E. coli,2200000,2200001,2200000
E. coli,2300000,2300001,2300000
E. coli,2400000,2400001,2400000
E. coli,2500000,2500001,2500000
E. coli,2600000,2600001,2600000
E. coli,2700000,2700001,2700000
E. coli,2800000,2800001,2800000
E. coli,2900000,2900001,2900000
E. coli,3000000,3000001,3000000
E. coli,3100000,3100001,3100000
E. coli,3200000,3200001,3200000
E. coli,3300000,3300001,3300000
E. coli,3400000,3400001,3400000
E. coli,3500000,3500001,3500000
E. coli,3600000,3600001,3600000
E. coli,3700000,3700001,3700000
E. coli,3800000,3800001,3800000
E. coli,3900000,3900001,3900000
E. coli,4000000,4000001,4000000
E. coli,4100000,4100001,4100000
E. coli,4200000,4200001,4200000
E. coli,4300000,4300001,4300000
E. coli,4400000,4400001,4400000
E. coli,4500000,4500001,4500000
E. coli,4600000,4600001,4600000
lambda,0,1,0
lambda,96000,96001,1000
lambda,192000,192001,2000
lambda,288000,288001,3000
lambda,384000,384001,4000
lambda,480000,480001,5000
lambda,576000,576001,6000
lambda,672000,672001,7000
lambda,768000,768001,8000
lambda,864000,864001,9000
lambda,960000,960001,10000
lambda,1056000,1056001,11000
lambda,1152000,1152001,12000
lambda,1248000,1248001,13000
lambda,1344000,1344001,14000
lambda,1440000,1440001,15000
lambda,1536000,1536001,16000
lambda,1632000,1632001,17000
lambda,1728000,1728001,18000
lambda,1824000,1824001,19000
lambda,1920000,1920001,20000
lambda,2016000,2016001,21000
lambda,2112000,2112001,22000
lambda,2208000,2208001,23000
lambda,2304000,2304001,24000
lambda,2400000,2400001,25000
lambda,2496000,2496001,26000
lambda,2592000,2592001,27000
lambda,2688000,2688001,28000
lambda,2784000,2784001,29000
lambda,2880000,2880001,30000
lambda,2976000,2976001,31000
lambda,3072000,3072001,32000
lambda,3168000,3168001,33000
lambda,3264000,3264001,34000
lambda,3360000,3360001,35000
lambda,3456000,3456001,36000
lambda,3552000,3552001,37000
lambda,3648000,3648001,38000
lambda,3744000,3744001,39000
lambda,3840000,3840001,40000
lambda,3936000,3936001,41000
lambda,4032000,4032001,42000
lambda,4128000,4128001,43000
lambda,4224000,4224001,44000
lambda,4320000,4320001,45000
lambda,4416000,4416001,46000
lambda,4512000,4512001,47000
lambda,4608000,4608001,48000
