Chromosome,chromStart,chromEnd,Chromosome.1,chromStart.1,chromEnd.1,PlotColor
E. coli,3350617,3350648,E. coli,2653514,2653600,gray48
E. coli,1671101,1671135,E. coli,1405657,1405689,gray48
E. coli,1671002,1671065,E. coli,4158279,4158295,gray48
E. coli,1671030,1671133,E. coli,1923104,1923104,gray48
E. coli,2278204,2278397,E. coli,3350664,3350698,gray48
E. coli,3350641,3350657,E. coli,2025305,2025497,gray48
E. coli,1923102,1923196,E. coli,3350612,3350698,gray48
E. coli,3350576,3350667,E. coli,686801,686835,gray48
E. coli,708225,708626,E. coli,507226,507289,gray48
E. coli,2924239,2924491,E. coli,4106354,4106387,gray48
E. coli,4056601,4056683,E. coli,4106315,4106389,gray48
E. coli,607762,607793,E. coli,4106357,4106387,gray48
E. coli,2470601,2470731,E. coli,2167135,2167201,gray48
E. coli,2470498,2470599,E. coli,2167139,2167201,gray48
E. coli,1405801,1405804,E. coli,4056428,4056561,gray48
E. coli,122859,122896,E. coli,4056426,4056567,gray48
E. coli,194722,194791,E. coli,4158278,4158298,gray48
E. coli,831996,831998,E. coli,1405657,1405679,gray48
E. coli,1958516,1958577,E. coli,3845731,3845762,gray48
E. coli,1923114,1923165,E. coli,4158278,4158338,gray48
E. coli,888014,888109,E. coli,3937210,3937280,gray48
E. coli,1888059,1888063,E. coli,105287,105288,gray48
E. coli,1026968,1026979,E. coli,1991745,1991748,gray48
E. coli,1523039,1523092,E. coli,1991745,1991764,gray48
E. coli,189820,189882,E. coli,1991746,1991769,gray48
lambda,4603392,4610496,E. coli,3350666,3350697,blue
lambda,3293760,3302304,E. coli,3350617,3350698,blue
lambda,2986368,2994336,E. coli,3350667,3350698,blue
lambda,225696,249216,E. coli,4106353,4106387,blue
lambda,183360,189888,E. coli,4106318,4106388,blue
lambda,748896,767232,E. coli,4106357,4106387,blue
lambda,1113888,1123008,E. coli,4106314,4106387,blue
lambda,4016544,4060800,E. coli,4106289,4106387,blue
lambda,4206624,4252704,E. coli,4106370,4106388,blue
lambda,806496,818784,E. coli,4106363,4106387,blue
E. coli,3350641,3350651,lambda,3888192,3896448,blue
E. coli,4106330,4106344,lambda,4476384,4481184,blue
E. coli,4106310,4106346,lambda,3667680,3672480,blue
E. coli,2942695,2942798,lambda,2650272,2658624,blue
E. coli,1770389,1770400,lambda,3396960,3398400,blue
E. coli,3558133,3558156,lambda,3256608,3262176,blue
E. coli,1492118,1492150,lambda,2345376,2354784,blue
E. coli,3845783,3845792,lambda,3207264,3211776,blue
E. coli,3845771,3845799,lambda,4312800,4327008,blue
E. coli,131520,131758,lambda,3255072,3260064,blue
lambda,3199968,3244320,lambda,3342432,3357984,red
lambda,2958432,2959680,lambda,432288,433152,red
lambda,222624,268608,lambda,346464,381888,red
lambda,1154688,1196352,lambda,183072,227808,red
lambda,77088,123552,lambda,4618560,4646016,red
lambda,14976,27168,lambda,117312,150816,red
lambda,529056,572544,lambda,384864,431328,red
lambda,923136,966432,lambda,268992,316704,red
lambda,406080,446784,lambda,595680,639936,red
lambda,454752,496800,lambda,596832,619200,red
