RNA1 EcoCyc ID	RNA2 EcoCyc ID	RNA1 name	RNA2 name	RNA1 description	RNA2 description	RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value	total RNA reads1	total RNA reads2	lib norm IP RNA1	lib norm IP RNA2	lib norm total RNA1	lib norm total RNA2	IP/total ratio1	IP/total ratio2	Normalized Odds Ratio (NOR)	RNA1 pred effect	RNA2 pred effect	Maximal RNA effect	Total reads IP: 37005653	Total reads total: 42694894
G0-8871	G0-8907	arcZ	C0614	small regulatory RNA ArcZ	-	chrI	3350617	3350648	+	chrI	2653514	2653600	-	47	406672	268	36598666	15.78279982	1.02E-30	7965	7	0.010990726	8.51E-06	0.000186556	1.64E-07	51.05686668	39.375	15.78279982	0.000115559	0.149206349	0.149206349		
G0-10698	G0-8899	G0-10698	mcaS	-	small regulatory RNA McaS	chrI	1671101	1671135	-	chrI	1405657	1405689	-	16	118	258702	36746817	19.26007242	2.42E-08	19	5430	3.62E-06	0.00699131	4.45E-07	0.000127181	6.7	47.63726754	6.11544926	0.03791278	6.18E-05	0.03791278		
G0-10698	EG31116	G0-10698	oxyS	-	small regulatory RNA OxyS	chrI	1671002	1671065	-	chrI	4158279	4158295	-	5	318	6587	36998743	88.31656932	0.038539459	31	66	8.73E-06	0.000178135	7.26E-07	1.55E-06	10.09375	98.3880597	42.24646581	0.00740484	0.000758495	0.00740484		
G0-10698	G0-8883	G0-10698	sdsR	-	small regulatory RNA SdsR	chrI	1671030	1671133	-	chrI	1923104	1923104	-	7	450	10100	36995096	56.97814565	0.00063656	50	72	1.23E-05	0.00027312	1.17E-06	1.69E-06	8.960784314	138.4520548	24.19635701	0.006504644	0.000692589	0.006504644		
G0-10700	G0-8871	G0-10700	arcZ	-	small regulatory RNA ArcZ	chrI	2278204	2278397	-	chrI	3350664	3350698	+	305	4773	472241	36528334	4.942817553	1.03E-98	2049	7965	0.000137222	0.012769563	4.80E-05	0.000186556	2.477073171	59.32036154	0.580241871	0.007050852	0.00064544	0.007050852		
G0-8871	G7047.G7048.IGR	arcZ	dsrA.yedP.IGR	small regulatory RNA ArcZ	small regulatory RNA DsrA : putative mannosyl-3-phosphoglycerate phosphatase	chrI	3350641	3350657	+	chrI	2025305	2025497	+	9	406710	27	36598907	29.99590781	0.001338289	7965	18	0.010990726	9.73E-07	0.000186556	4.22E-07	51.05686668	1.894736842	2.693435369	2.21E-05	0.022448357	0.022448357		
G0-8865	G0-8871	ryeA	arcZ	small antisense RNA RyeA	small regulatory RNA ArcZ	chrI	1923102	1923196	+	chrI	3350612	3350698	+	60	750	472486	36532357	6.185555889	5.94E-20	997	7965	2.19E-05	0.012769563	2.34E-05	0.000186556	0.811623246	59.32036154	0.237918855	0.002849157	0.000126972	0.002849157		
G0-8871	G0-9383	arcZ	sroC	small regulatory RNA ArcZ	small regulatory RNA SroC	chrI	3350576	3350667	+	chrI	686801	686835	-	1261	426206	25935	36552251	4.169878513	0	8303	1163	0.011551397	0.000734915	0.000194473	2.72E-05	51.47723988	23.36426117	4.169878513	0.002949935	0.046367113	0.046367113		
G0-17083	G0-9382	chiZ	chiX	small regulatory RNA ChiZ	small regulatory RNA ChiX	chrI	708225	708626	+	chrI	507226	507289	+	13074	19027	11016875	25956677	1.618932842	0	349	5704	0.000867462	0.298061191	8.17E-06	0.000133599	91.71714286	1933.382822	1.618932842	0.407277032	0.001185318	0.407277032		
G0-8785	G0-16649	csrB	cpxQ	small regulatory RNA CsrB	small regulatory RNA CpxQ	chrI	2924239	2924491	-	chrI	4106354	4106387	+	55	3075	163393	36839130	4.03267746	3.40E-10	16129	1566	8.46E-05	0.004416839	0.000377774	3.67E-05	0.194048357	104.3063178	0.03708507	0.000161594	0.000336498	0.000336498		
G0-17117	G0-16649	glnZ	cpxQ	-	small regulatory RNA CpxQ	chrI	4056601	4056683	-	chrI	4106315	4106389	+	555	80370	162893	36761835	1.558453234	1.44E-15	885	1566	0.002186828	0.004416839	2.07E-05	3.67E-05	91.33747178	104.3063178	1.558453234	0.006858202	0.003395575	0.006858202		
G0-17110	G0-16649	sokE	cpxQ	small RNA SokE	small regulatory RNA CpxQ	chrI	607762	607793	-	chrI	4106357	4106387	+	29	531	163419	36841674	12.31233103	1.13E-14	372	1566	1.51E-05	0.004416839	8.71E-06	3.67E-05	1.501340483	104.3063178	0.876022231	0.003684553	0.000177426	0.003684553		
G0-16635	G0-8878	ryeG	cyaR	small RNA RyeG	small regulatory RNA CyaR	chrI	2470601	2470731	-	chrI	2167135	2167201	+	629	3503	803221	36198300	8.092144489	0.00E+00	247	5239	0.000111659	0.021722357	5.79E-06	0.000122708	16.66129032	153.4064885	6.389515227	0.120197273	0.000782484	0.120197273		
G0-16635	G0-8878	ryeG	cyaR	small RNA RyeG	small regulatory RNA CyaR	chrI	2470498	2470599	-	chrI	2167139	2167201	+	84	1388	803766	36200415	2.725672911	1.63E-08	639	5239	3.98E-05	0.021722357	1.50E-05	0.000122708	2.3	153.4064885	0.297096286	0.006220066	0.000104497	0.006220066		
